the_geom,OBJECTID,Name,Stacked,AnnoLine1,AnnoLine2,AnnoLine3,AnnoAngle,Borough
POINT (-74.08055351790122 40.63731606711036),221,Tompkinsville,1,Tompkinsville,,,0,Staten Island
POINT (-74.09629029235465 40.619193107926804),222,Silver Lake,2,Silver,Lake,,0,Staten Island
POINT (-74.09712552178537 40.612760157564935),223,Sunnyside,1,Sunnyside,,,0,Staten Island
POINT (-73.96101312466787 40.64367518334101),224,Ditmas Park,2,Ditmas,Park,,0,Brooklyn
POINT (-73.93718680559321 40.660946561881154),225,Wingate,1,Wingate,,,0,Brooklyn
POINT (-73.92688212616963 40.65557231328081),226,Rugby,1,Rugby,,,0,Brooklyn
POINT (-74.08015734936303 40.60919044434562),227,Park Hill,2,Park,Hill,,0,Staten Island
POINT (-74.13304143951713 40.62109047275413),228,Westerleigh,1,Westerleigh,,,0,Staten Island
POINT (-74.1531524638777 40.62017151223193),229,Graniteville,1,Graniteville,,,0,Staten Island
POINT (-74.16510420241131 40.63532509911496),230,Arlington,1,Arlington,,,0,Staten Island
POINT (-74.06712363225581 40.596312571276776),231,Arrochar,1,Arrochar,,,0,Staten Island
POINT (-74.07667436279057 40.59826835959995),232,Grasmere,1,Grasmere,,,0,Staten Island
POINT (-74.08751118005587 40.596328913795176),233,Old Town,2,Old,Town,,0,Staten Island
POINT (-74.09639905312528 40.58867294819932),234,Dongan Hills,2,Dongan,Hills,,0,Staten Island
POINT (-74.09348266303599 40.573526905742874),235,Midland Beach,2,Midland,Beach,,0,Staten Island
POINT (-74.10585598545441 40.57621558711792),236,Grant City,2,Grant,City,,0,Staten Island
POINT (-74.10432707469131 40.56425549307338),237,New Dorp Beach,3,New,Dorp,Beach,0,Staten Island
POINT (-74.13916622175775 40.55398800858466),238,Bay Terrace,2,Bay,Terrace,,0,Staten Island
POINT (-74.19174105747821 40.53191192048964),239,Huguenot,1,Huguenot,,,0,Staten Island
POINT (-74.21983106616784 40.52469937611818),240,Pleasant Plains,2,Pleasant,Plains,,0,Staten Island
POINT (-74.22950350260034 40.506081653463085),241,Butler Manor,2,Butler,Manor,,0,Staten Island
POINT (-74.23215775896533 40.530531482833176),242,Charleston,1,Charleston,,,0,Staten Island
POINT (-74.21572851113959 40.549404006500765),243,Rossville,1,Rossville,,,0,Staten Island
POINT (-74.185886745839 40.549285822783254),244,Arden Heights,2,Arden,Heights,,0,Staten Island
POINT (-74.19150620964295 40.559712496342954),245,Greenridge,1,Greenridge,,,0,Staten Island
POINT (-74.15902208156608 40.589138948752854),246,Heartland Village,2,Heartland,Village,,0,Staten Island
POINT (-74.18956045519697 40.59472602746298),247,Chelsea,1,Chelsea,,,0,Staten Island
POINT (-74.18725638381574 40.60577868452362),248,Bloomfield,1,Bloomfield,,,0,Staten Island
POINT (-74.15940948657129 40.60959180042034),249,Bulls Head,2,Bulls,Head,,0,Staten Island
POINT (-73.95325646837121 40.78268256712574),250,Carnegie Hill,2,Carnegie,Hill,,0,Manhattan
POINT (-73.98843368023604 40.72325901885772),251,Noho,1,Noho,,,0,Manhattan
POINT (-74.00541529873362 40.715228920462856),252,Civic Center,2,Civic,Center,,0,Manhattan
POINT (-73.98871313285254 40.748509664312245),253,Midtown South,2,Midtown,South,,0,Manhattan
POINT (-74.13405729862578 40.56960594275509),254,Richmond Town,2,Richmond,Town,,0,Staten Island
POINT (-74.06667766061778 40.609719340792886),255,Shore Acres,2,Shore,Acres,,0,Staten Island
POINT (-74.07264244548406 40.61917845202847),256,Clifton,1,Clifton,,,0,Staten Island
POINT (-74.08402364740365 40.604473189687944),257,Concord,1,Concord,,,0,Staten Island
POINT (-74.09776206972529 40.606794394801035),258,Emerson Hill,2,Emerson,Hill,,0,Staten Island
POINT (-74.09805062373894 40.63563000681155),259,Randall Manor,2,Randall,Manor,,0,Staten Island
POINT (-74.1862233174983 40.638432837947995),260,Howland Hook,2,Howland,Hook,,0,Staten Island
POINT (-74.14181678968897 40.63014674119387),261,Elm Park,2,Elm,Park,,0,Staten Island
POINT (-73.91665331978055 40.65211745179353),262,Remsen Village,2,Remsen,Village,,0,Brooklyn
POINT (-73.885117763793 40.66274427969663),263,New Lots,2,New,Lots,,0,Brooklyn
POINT (-73.90233474295843 40.63131755039671),264,Paerdegat Basin,2,Paerdegat,Basin,,0,Brooklyn
POINT (-73.9151539155041 40.615974239623405),265,Mill Basin,2,Mill,Basin,,0,Brooklyn
POINT (-73.796464620816 40.71145964370486),266,Jamaica Hills,2,Jamaica,Hills,,0,Queens
POINT (-73.79671678028357 40.7335002542976),267,Utopia,1,Utopia,,,0,Queens
POINT (-73.80486120040544 40.73493618075482),268,Pomonok,1,Pomonok,,,0,Queens
POINT (-73.89467996270581 40.770317392998244),269,Astoria Heights,2,Astoria,Heights,,0,Queens
POINT (-73.90119903387674 40.83142834161551),270,Claremont Village,2,Claremont,Village,,0,Bronx
POINT (-73.91584652759016 40.82478049084294),271,Concourse Village,2,Concourse,Village,,0,Bronx
POINT (-73.91655551964426 40.843826176716576),272,Mount Eden,2,Mount,Eden,,0,Bronx
POINT (-73.90829930881995 40.84884160724669),273,Mount Hope,2,Mount,Hope,,0,Bronx
POINT (-73.9635561409431 40.76028033131378),274,Sutton Place,2,Sutton,Place,,0,Manhattan
POINT (-73.95386782130753 40.74341409007358),275,Hunters Point,2,Hunters,Point,,0,Queens
POINT (-73.96770824581843 40.75204236950726),276,Turtle Bay,2,Turtle,Bay,,0,Manhattan
POINT (-73.97121928722272 40.74691741074023),277,Tudor City,2,Tudor,City,,0,Manhattan
POINT (-73.9740517046921 40.73099955477065),278,Stuyvesant Town,2,Stuyvesant,Town,,0,Manhattan
POINT (-73.99094710528267 40.73967304763847),279,Flatiron,1,Flatiron,,,0,Manhattan
POINT (-73.9181928643169 40.745651806080794),280,Sunnyside Gardens,2,Sunnyside,Gardens,,0,Queens
POINT (-73.93244235260185 40.73725071694501),281,Blissville,1,Blissville,,,0,Queens
POINT (-73.99550751888422 40.70328109093018),282,Fulton Ferry,2,Fulton,Ferry,,0,Brooklyn
POINT (-73.981116035924 40.703321498828785),283,Vinegar Hill,2,Vinegar,Hill,,0,Brooklyn
POINT (-73.93053108817347 40.67503986503241),284,Weeksville,1,Weeksville,,,0,Brooklyn
POINT (-73.90331684852606 40.67786104769535),285,Broadway Junction,2,Broadway,Junction,,0,Brooklyn
POINT (-73.98875280745047 40.70317632822696),286,Dumbo,1,Dumbo,,,0,Brooklyn
POINT (-74.12059399718008 40.60180957631448),287,Manor Heights,2,Manor,Heights,,0,Staten Island
POINT (-74.13208447484305 40.60370692627375),288,Willowbrook,1,Willowbrook,,,0,Staten Island
POINT (-74.21776636068574 40.5411399220918),289,Sandy Ground,2,Sandy,Ground,,0,Staten Island
POINT (-74.12727240604953 40.579118742961256),290,Egbertville,1,Egbertville,,,0,Staten Island
POINT (-73.89213760232829 40.567375889570364),291,Roxbury,1,Roxbury,,,0,Queens
POINT (-73.9591845942871 40.59852509513729),292,Homecrest,1,Homecrest,,,0,Brooklyn
POINT (-73.8811431920061 40.71641451115823),293,Middle Village,2,Middle,Village,,0,Queens
POINT (-74.20152556457666 40.526264067348166),294,Prince's Bay,2,Prince's,Bay,,0,Staten Island
POINT (-74.13792663771576 40.576506293794935),295,Lighthouse Hill,2,Lighthouse,Hill,,0,Staten Island
POINT (-74.22957080626948 40.519541457489126),296,Richmond Valley,2,Richmond,Valley,,0,Staten Island
POINT (-73.8266775713865 40.790601556701525),297,Malba,1,Malba,,,0,Queens
POINT (-73.8902809854761 40.68248551101694),298,Highland Park,2,Highland,Park,,0,Brooklyn
POINT (-73.948415153289 40.609377701137696),299,Madison,1,Madison,,,0,Brooklyn
