id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
19698169,"""The luxury of Comfort""",131826530,Kathy,Bronx,Riverdale,40.88671,-73.9151,Private room,2500,2,0,,,3,179
19698772,"Brooklyn, Carroll Garden Apartment",48970186,Margarita,Brooklyn,Carroll Gardens,40.68188,-73.99438,Entire home/apt,135,4,49,2019-05-09,2.31,2,3
19699039,Super Nice and Cool One Bedroom in LES,24835386,Atif,Manhattan,Lower East Side,40.71799,-73.98657,Entire home/apt,138,7,4,2018-08-27,0.17,1,0
19699218,"Clean, Big, Sunny Room in Little Italy/Chinatown!",138784297,Andre,Manhattan,Chinatown,40.71353,-73.99632,Private room,115,2,18,2018-10-08,0.74,1,0
19699241,MJ house,138782186,Hannah M,Queens,Rosedale,40.65531,-73.7274,Private room,70,1,0,,,2,365
19699596,Intimate and Welcoming,138785704,Andrea,Manhattan,East Harlem,40.81661,-73.93471,Entire home/apt,150,2,60,2019-06-16,2.61,1,94
19700585,Entire Apt with City Skyline Views,1384111,Joanne,Queens,Sunnyside,40.7461,-73.92146,Entire home/apt,150,30,8,2018-01-01,0.35,2,0
19700871,~ Chic and open 2 bedroom Brooklyn Apartment ~,41963149,Carolyn,Brooklyn,Bedford-Stuyvesant,40.69129,-73.95119,Entire home/apt,170,1,1,2017-07-16,0.04,1,0
19701037,1BR - Heart of West Village - 30 Day Min - Unit 6,4422523,Marie,Manhattan,West Village,40.73394,-74.0049,Entire home/apt,140,30,4,2019-03-03,0.27,6,153
19701427,Beautiful One Bedroom on the Upper East Side,16685637,Jessica,Manhattan,Upper East Side,40.76692,-73.964,Entire home/apt,400,15,0,,,1,87
19701453,"GardenViewApt 10min to Bushwick ArtScene,Food,Bars",5413500,Rebecca,Queens,Ridgewood,40.70499,-73.91304,Entire home/apt,95,3,0,,,1,0
19701644,"Affordable, spacious room in Bed-Stuy",3309159,David,Brooklyn,Bedford-Stuyvesant,40.68824,-73.95383,Private room,50,1,0,,,1,0
19701809,Spacious private room in the heart of Williamsburg,52173396,Greg,Brooklyn,Williamsburg,40.71733,-73.95887,Private room,65,1,7,2018-08-07,0.29,1,0
19701913,Charming One Bedroom in South Harlem,6933440,Madalyn,Manhattan,Harlem,40.80416,-73.95704,Entire home/apt,102,2,18,2019-01-01,0.77,1,0
19702498,Sunny 2BR Brooklyn Loft,5421054,Samuel,Brooklyn,Bushwick,40.70766,-73.92169,Entire home/apt,175,5,8,2018-09-09,0.34,1,0
19702506,Heart of NYC - Best Location In The City,138823659,Andrea,Manhattan,Hell's Kitchen,40.75851,-73.99138,Entire home/apt,275,2,16,2019-04-21,0.67,1,0
19703922,NYC 1-bedroom apartment on the UES,2262180,Andrew,Manhattan,Upper East Side,40.76651,-73.95155,Entire home/apt,145,2,33,2019-06-29,2.55,1,267
19708955,Good Vibes Tribeca Loft,136729912,Karen,Manhattan,Tribeca,40.72227,-74.00804,Entire home/apt,700,4,12,2019-01-01,0.62,1,124
19709550,Artist 1.5 bedroom WHOLE apartment in central NY!,38204730,Kathy,Manhattan,Gramercy,40.73564,-73.98229,Entire home/apt,239,5,2,2018-01-02,0.08,3,266
19709666,Beautiful Studio in Historic Inwood-NYC!,21056771,Lauren & Ron,Manhattan,Inwood,40.86801,-73.92372,Entire home/apt,65,2,112,2019-06-27,4.67,1,103
19710391,BedStuy Dream-house,28680760,Edwin,Brooklyn,Bedford-Stuyvesant,40.68474,-73.91825,Entire home/apt,250,4,3,2017-09-17,0.13,1,333
19710742,Sunny Room w/ Private Bath in Williamsburg!,2361069,Philip,Brooklyn,Williamsburg,40.71553,-73.96332,Private room,90,3,74,2019-06-23,3.29,1,79
19710855,Cozy Ground Floor Apartment-SUBWAY ONE BLOCK AWAY,49764808,Danielle,Brooklyn,Bedford-Stuyvesant,40.67848,-73.91543,Entire home/apt,85,2,67,2019-06-23,2.85,2,171
19711512,"Cozy, Cool, Mid Century Modern Apt in Boerum Hill",1024251,Michael,Brooklyn,Boerum Hill,40.68807,-73.98161,Entire home/apt,170,2,21,2018-08-21,0.86,1,9
19712270,Treasure of Harlem: Balcony View and Fun Hosts,138914016,Jacqueline,Manhattan,East Harlem,40.80109,-73.93975,Private room,60,1,26,2018-07-01,1.09,1,0
19712405,Private basement room in a duplex apartment,109908957,Natalia & Gustavo,Brooklyn,East Flatbush,40.6458,-73.94586,Private room,50,1,8,2018-06-02,0.35,2,89
19712687,"Sunny, spacious, homey Brooklyn loft",11989253,Hiji,Brooklyn,Bushwick,40.70113,-73.92299,Private room,60,3,0,,,1,0
19713074,Sweet one bedroom apartment in Cobble Hill,9669516,Renee,Brooklyn,Cobble Hill,40.68698,-73.99864,Entire home/apt,152,3,3,2017-07-31,0.13,1,0
19713885,The Historic Jackson Heights,137575707,Lilia,Queens,Jackson Heights,40.75091,-73.89304,Private room,62,2,55,2019-06-11,2.31,1,318
19714056,"Bright, spacious bedroom in comfy Brooklyn home",3013202,Chelsea,Brooklyn,Bushwick,40.69997,-73.91666,Private room,70,4,1,2017-08-21,0.04,1,55
19714504,"Sunny, Clean 2 beds 1 bath  C.Heights Brooklyn",21418070,Daniela,Brooklyn,Crown Heights,40.66609,-73.93976,Entire home/apt,99,2,0,,,1,20
19714903,Charming One Bedroom Apt in West Chelsea,8706651,Theresa,Manhattan,Chelsea,40.74862,-74.00237,Entire home/apt,150,2,1,2019-04-27,0.41,1,0
19715121,Brooklyn Spacious Studio,34899836,Frances,Brooklyn,East Flatbush,40.65777,-73.91671,Entire home/apt,100,2,36,2019-06-16,1.57,1,56
19716375,Rockaway Hideaway,137305439,Harry,Queens,Rockaway Beach,40.58891,-73.81578,Private room,110,1,34,2019-07-01,1.4,2,358
19716501,Peaceful Private Studio Floor in Williamsburg Apt,3889739,Tutti,Brooklyn,Williamsburg,40.71322,-73.94022,Private room,60,2,6,2017-10-29,0.25,1,0
19717109,Great 2BD in TriBeCa,8586684,Julian,Manhattan,SoHo,40.72569,-74.00849,Entire home/apt,700,2,1,2017-07-08,0.04,1,0
19717572,Large NYC Apartment!,45726938,Daulton,Manhattan,East Harlem,40.79368,-73.94132,Private room,100,3,0,,,1,0
19717632,East Village Charming & Cozy Apt!,6965700,Alina,Manhattan,East Village,40.72435,-73.98394,Private room,73,3,6,2018-07-08,0.3,1,0
19717723,Tiny STUDIO in EastVillage,49656804,Marija,Manhattan,East Village,40.72716,-73.98524,Entire home/apt,100,3,75,2019-07-01,3.12,1,60
19718634,Enormous apartment with everything you need,3495471,Russell,Bronx,Claremont Village,40.83561,-73.91108,Entire home/apt,58,3,59,2019-06-03,2.89,1,42
19718993,Cozy Crown Heights w/ Botanical Garden Membership,26017313,Jamie,Brooklyn,Crown Heights,40.67293,-73.96128,Entire home/apt,200,1,2,2017-09-26,0.09,1,0
19719080,"Kosher, furnished room in Crown Heights!!!",58753715,Avremi And Shmuly,Brooklyn,Crown Heights,40.66739,-73.94708,Private room,70,2,5,2017-10-23,0.21,1,0
19719874,Studio - West Village - Unit 1,4422523,Marie,Manhattan,West Village,40.73598,-74.00505,Entire home/apt,140,30,1,2018-08-06,0.09,6,267
19720055,Big Private Room in quite place with green view.,138983570,Ali,Queens,Sunnyside,40.74777,-73.91546,Private room,45,6,1,2019-05-10,0.5,1,14
19720126,Spacious West Harlem Studio!,96742320,Anne,Manhattan,Harlem,40.82411,-73.9509,Entire home/apt,98,2,2,2017-08-22,0.09,1,0
19720270,Bright corner Studio in the heart of Harlem,12293403,Joffrey,Manhattan,Harlem,40.81113,-73.94113,Entire home/apt,150,2,21,2019-02-24,0.89,2,157
19720565,2 bedroom luxury building 10 day stay,138996674,Suhail,Manhattan,Murray Hill,40.74466,-73.9748,Entire home/apt,80,10,0,,,1,0
19720877,"Bright 2BR, terrace, best Bklyn Heights location!",7627586,Sarah,Brooklyn,Brooklyn Heights,40.69387,-73.99412,Entire home/apt,299,4,6,2018-12-31,0.27,1,27
19720907,"Cozy bedroom in Harlem, NY",54283436,Maurice,Manhattan,East Harlem,40.7993,-73.94164,Private room,60,3,6,2018-07-26,0.25,1,0
19721338,2 Bedrooms Available in Upper West Manhattan,133274871,Deborah,Manhattan,Harlem,40.81513,-73.95685,Private room,51,5,0,,,1,0
19721535,Rockaway Beach Oasis,12162815,Annelise,Queens,Rockaway Beach,40.59093,-73.81238,Entire home/apt,140,2,9,2019-06-14,0.38,1,36
19721906,"1 month min, Cozy Midtown East/UES studio!",10440694,Gia,Manhattan,Upper East Side,40.76212,-73.96358,Entire home/apt,150,30,88,2019-06-22,3.67,1,3
19728214,Large beautiful room in luxury building with view,139076348,Candelyn,Queens,Long Island City,40.74515,-73.95583,Private room,150,3,0,,,1,0
19729892,One room in a beautiful two bedroom appartment,4452444,Jūrate,Brooklyn,Williamsburg,40.71916,-73.94215,Private room,70,1,14,2019-06-30,0.6,1,0
19730080,Private bedroom in Sunny Bushwick Apartment,139093829,Valentina,Brooklyn,Bushwick,40.6874,-73.91455,Private room,40,3,17,2018-08-27,0.71,1,0
19730428,Comfortable Room in Bushwick,139096564,Jessica,Brooklyn,Bushwick,40.69273,-73.9055,Private room,45,1,1,2017-07-17,0.04,1,0
19730968,Furnished private large room at a great location,138717905,Luca,Manhattan,East Harlem,40.79626,-73.94429,Private room,67,2,28,2019-07-03,1.22,1,179
19731225,Entire 2 bedroom floor in owner occup Brownstone,71097702,Paula,Brooklyn,Park Slope,40.6815,-73.98028,Entire home/apt,290,30,48,2019-04-09,2.07,2,299
19731249,Stunning Spacious Artist Loft,138938451,Andrea,Brooklyn,Williamsburg,40.70635,-73.93588,Entire home/apt,150,3,6,2017-09-23,0.25,1,0
19731551,CHARMING QUIET STUDIO RIGHT OFF CENTRAL PARK WEST,9293730,Inna,Manhattan,Upper West Side,40.78469,-73.97197,Entire home/apt,159,30,2,2019-01-29,0.18,16,358
19732045,Big apartment in Bushwick... art--nightlife--food!,21772781,Edward,Brooklyn,Bushwick,40.70268,-73.91582,Entire home/apt,77,3,4,2019-04-24,0.18,1,0
19734117,"UES: Bdrm Sunny Corner Apt, 3 flights of stairs up",139135366,Eileen,Manhattan,Upper East Side,40.76864,-73.95427,Entire home/apt,175,2,20,2019-06-15,0.88,1,0
19734492,Beautiful Modern Brooklyn Gem,137184002,Kevin,Brooklyn,East Flatbush,40.6543,-73.91488,Entire home/apt,85,1,183,2019-07-08,7.65,1,120
19735722,Loft-like turn of the century apartment for shoots,31515758,Townsend,Manhattan,Washington Heights,40.83405,-73.94565,Entire home/apt,1000,1,1,2018-03-18,0.06,1,79
19736798,"Large Private Room
Sleeps 4 Guests
Full Amenities",139165159,Deonisis,Manhattan,Inwood,40.8662,-73.92646,Private room,60,1,128,2019-07-05,6.03,1,67
19737173,"NYC Room Sublet, Private Space, Air conditioner",139170973,Wonkyung,Manhattan,Harlem,40.81949,-73.95521,Private room,45,7,0,,,1,0
19737908,Cozy Zen-like Jungle in Bushwick,67271745,Anna,Brooklyn,Bushwick,40.69393,-73.90898,Private room,55,1,1,2017-07-30,0.04,1,0
19737981,SPOTLESS  bedroom separate entrance  paid parking.,120767920,Jimmy &Cindy,Queens,Flushing,40.75786,-73.8123,Private room,48,2,54,2019-07-01,2.28,10,360
19738203,"1 Bedroom Apartment
Crown Heights, Brooklyn",34039463,Sini,Brooklyn,Crown Heights,40.67081,-73.92765,Private room,100,1,0,,,1,0
19738695,Two Bedroom Apt in Midtown East,24559181,Aldi,Manhattan,Upper East Side,40.76302,-73.96725,Entire home/apt,200,1,15,2019-06-21,0.69,3,351
19743260,Private room in Harlem with A/C,44220091,Thomas,Manhattan,Harlem,40.8076,-73.94252,Private room,56,1,10,2017-08-23,0.42,1,0
19743272,Cozy Inn,138628430,Tyeesha,Bronx,Morris Heights,40.85167,-73.92144,Private room,50,1,0,,,1,363
19743334,Gem in South Williamsburg,3363377,Eryka,Brooklyn,Williamsburg,40.70997,-73.94902,Private room,114,2,43,2019-06-11,1.82,2,114
19743941,Spacious Prospect Park Loft Apartment,6042053,Jonathan,Brooklyn,Prospect-Lefferts Gardens,40.66062,-73.96084,Entire home/apt,200,3,32,2019-06-28,1.37,1,317
19744093,Beautiful modern Brooklyn apartment with balcony!,2239235,Jess,Brooklyn,Crown Heights,40.67637,-73.95755,Entire home/apt,125,3,1,2017-07-16,0.04,1,0
19744503,Private and Comfortable bedroom,138003310,Marta,Queens,Richmond Hill,40.70008,-73.83344,Private room,60,7,53,2019-06-28,2.24,1,335
19744691,Townhouse with  private bathroom and lush backyard,8162588,Kristen,Brooklyn,Crown Heights,40.67226,-73.92477,Private room,40,2,10,2018-10-19,0.41,1,22
19745541,One Bedroom LOFT 2 blocks from Bedford ave L,15476792,Gosia,Brooklyn,Williamsburg,40.7179,-73.96047,Entire home/apt,105,1,24,2017-12-31,1.01,1,0
19745952,"Cozy, charming uptown apartment!",31727657,Kristen,Manhattan,Washington Heights,40.84482,-73.93739,Private room,70,4,1,2017-07-31,0.04,1,0
19747278,Large bayfront Apt in Rockaway Beach,106125,Alexa,Queens,Rockaway Beach,40.59106,-73.8113,Entire home/apt,108,4,20,2019-07-01,0.85,1,329
19747940,1 Bedroom in Beautiful Prospect Heights Apt.,5018185,Caroline,Brooklyn,Prospect Heights,40.67797,-73.96783,Private room,60,2,1,2017-07-30,0.04,1,0
19748676,Shu's home,138579344,Lester And Shirell,Brooklyn,Clinton Hill,40.68895,-73.96259,Entire home/apt,130,2,49,2019-06-21,2.3,1,211
19749132,Small cozy furnished bedroom in Sunnyside Queens,68321431,Victor-Andres,Queens,Sunnyside,40.7362,-73.91783,Private room,30,2,6,2018-06-23,0.42,1,0
19749379,Great Luxury Condo Studio Apt,39469408,Ron And Khine,Queens,Rego Park,40.73268,-73.85952,Entire home/apt,135,3,5,2017-09-04,0.21,1,0
19749398,Pent house for rent in Astoria 5 min to LGA,95570854,Fatema,Manhattan,Civic Center,40.71359,-74.00538,Private room,300,1,0,,,2,179
19750905,Live like a local in the heart of Manhattan,37688229,Roxana,Manhattan,Midtown,40.75568,-73.96798,Entire home/apt,79,6,8,2019-06-21,0.35,1,15
19751205,"Gorgeous Sun-fulled Studio, Perfect Location!!!",55148803,Bianca And Jordan,Brooklyn,Williamsburg,40.71581,-73.95423,Entire home/apt,146,2,40,2019-06-23,1.66,1,200
19751573,New + modern E Williamsburg apt *right* off subway,33243428,Parsa,Brooklyn,Williamsburg,40.71365,-73.93889,Private room,57,3,1,2017-08-01,0.04,1,0
19757502,Historic Modernism in Harlem's Sugar Hill,97682736,Michael,Manhattan,Harlem,40.82559,-73.94501,Entire home/apt,250,7,1,2018-12-28,0.16,1,0
19757672,Quiet Studio in Midtown manhattan,120762452,Stanley,Manhattan,Murray Hill,40.74965,-73.97566,Entire home/apt,150,30,1,2018-04-10,0.07,50,320
19758402,CITY ISLAND VACATION HOME NEAR THE BEACH,139415761,Deb,Bronx,City Island,40.85306,-73.78948,Entire home/apt,85,2,42,2019-07-06,1.76,1,168
19759718,Cozy 1bedroom in Greenwich Village/Soho,7338347,Janelle,Manhattan,Greenwich Village,40.7289,-74.00059,Private room,70,7,0,,,1,0
19760008,Your Home by the Park,44358777,Peter A.,Manhattan,Upper West Side,40.79874,-73.9599,Private room,67,2,5,2017-09-07,0.21,1,0
19760163,Bronx Room for Rent,6843497,J.F.,Bronx,Morris Park,40.84932,-73.85883,Private room,35,3,4,2019-04-06,0.17,1,76
19760412,Cozy Home in Brooklyn Heights,12326863,Catherine,Brooklyn,Brooklyn Heights,40.69144,-73.99637,Entire home/apt,160,30,0,,,1,31
19762625,Private Room with Garden In Lovely Apt in Soho,2269285,Michka,Manhattan,Nolita,40.72208,-73.99365,Private room,100,2,6,2017-10-30,0.25,1,0
19763012,Cozy Catch,139467641,Bartek,Brooklyn,Bedford-Stuyvesant,40.68309,-73.92298,Private room,47,3,8,2017-12-30,0.33,1,0
19763298,Large-sunny-private room & bathroom in UES hi rise,12825778,Laura,Manhattan,Upper East Side,40.78273,-73.95048,Private room,46,3,23,2019-07-06,0.96,1,12
19763459,Great location-Close to metro in cool neighborhood,81160897,Roberto,Brooklyn,Bushwick,40.70152,-73.91148,Private room,50,1,16,2019-04-21,0.66,1,343
19763657,East Williamsburg Sanctuary at Morgan L train,19612095,Ellie,Brooklyn,Williamsburg,40.70496,-73.93122,Private room,65,2,20,2019-05-07,0.83,2,179
19764243,Modern Studio in Classic Upper East Side,56728868,Nathan,Manhattan,Upper East Side,40.77286,-73.94789,Entire home/apt,115,14,0,,,1,0
19764868,"UWS Townhouse 1BR  Modern, Bright 3A",106837455,Lisa,Manhattan,Upper West Side,40.78443,-73.98256,Entire home/apt,135,90,0,,,8,125
19765340,Beautiful Bedroom NEAR SUBWAYS 25 min to Manhattan,139490165,Melvin & Maya,Brooklyn,Bushwick,40.68469,-73.90794,Private room,110,2,9,2018-06-03,0.41,3,0
19766312,Room in conveniently located charming apartment,3118776,Akiko,Queens,Long Island City,40.76363,-73.93033,Private room,48,5,52,2019-06-24,2.17,1,8
19766387,a room in Clinton Hill,139503928,Noel,Brooklyn,Clinton Hill,40.68231,-73.96658,Private room,45,7,1,2017-08-15,0.04,1,0
19766555,1.5 Bed Condo in heart of Williamsburg,20163996,Russ,Brooklyn,Williamsburg,40.71441,-73.94527,Entire home/apt,140,3,4,2018-10-09,0.2,1,0
19766791,Beautiful Private Room,38815234,Viviana,Manhattan,Harlem,40.82747,-73.94224,Private room,45,3,42,2019-06-03,1.78,2,252
19767346,Cozy Gem in Huge Prewar Midtown Apartment,37092956,Edward,Manhattan,Midtown,40.76358,-73.98015,Private room,72,6,0,,,1,0
19767372,One Bedroom in the middle of Astoria,139511753,Brittani,Queens,Astoria,40.76531,-73.91155,Entire home/apt,137,2,3,2017-10-27,0.12,1,0
19767452,Beautiful Apartment with Garden In Brooklyn,28307663,Matan,Brooklyn,Greenpoint,40.73599,-73.95604,Entire home/apt,170,2,12,2019-06-24,0.53,1,3
19767688,Bedroom with Patio in Prime Williamsburg Location!,3900279,Adriel,Brooklyn,Williamsburg,40.72054,-73.95919,Private room,100,3,0,,,2,0
19767924,"Charming 1 bedroom, Great Location LES/Chinatown",139127299,Switch,Manhattan,Chinatown,40.71609,-73.99204,Entire home/apt,198,10,4,2018-11-05,0.19,1,0
19768107,Lower East Dream Room!,16414560,Kat,Manhattan,East Village,40.72467,-73.98922,Private room,100,2,1,2019-05-21,0.61,1,0
19768219,Couch in Studio Apartment in Astoria,9039995,Jamie,Queens,Long Island City,40.76199,-73.92684,Shared room,33,1,11,2017-10-22,0.46,1,0
19768417,Private Room-Upper East Side,40139382,Josh,Manhattan,Upper East Side,40.77275,-73.94917,Private room,70,4,1,2018-01-20,0.06,1,0
19768754,"#1 Spacious Cozy Room, 30 minutes from Manhattan",619942,Stacy & Simon,Brooklyn,Cypress Hills,40.68749,-73.87261,Private room,42,30,42,2019-07-01,1.81,6,114
19768762,Two bedrooms with free parking,115355054,Alice,Queens,Flushing,40.75183,-73.80665,Entire home/apt,139,2,36,2019-06-24,1.74,1,101
19768829,"Cozy 1 bedroom apt, Quiet, Near metro, East side",3792860,Elena,Manhattan,Upper East Side,40.77052,-73.95485,Entire home/apt,150,1,0,,,2,0
19769057,Bright 1 Bed Apartment in Fort Greene,3019399,Andreas,Brooklyn,Fort Greene,40.68633,-73.97164,Entire home/apt,180,2,15,2019-07-01,0.64,1,4
19769328,Private spacious bedroom near JFK Airport,35751147,Agraj,Queens,Richmond Hill,40.69452,-73.82742,Private room,60,1,26,2019-05-05,1.09,1,0
19769403,AMAZING 2 bedroom in the heart of Chelsea!,10307134,Anna,Manhattan,Chelsea,40.74204,-73.99899,Entire home/apt,275,3,20,2019-07-01,0.86,2,106
19769680,Huge 1 bedroom apartment on Broadway!,15468652,Igor,Manhattan,Washington Heights,40.83499,-73.94528,Private room,59,6,1,2017-08-04,0.04,1,0
19769912,"Modern, Stylish & Spacious Brooklyn Oasis",54508926,Roshumba,Brooklyn,Canarsie,40.63837,-73.91149,Entire home/apt,167,2,102,2019-07-08,4.27,1,294
19779217,Cozy and private room in the East Village,27895393,Daniel,Manhattan,East Village,40.72295,-73.98487,Private room,95,3,23,2019-05-27,1.05,1,229
19779749,Private Room in Sunny South Harlem Apt,1877402,Anna,Manhattan,Harlem,40.8114,-73.95237,Private room,50,1,15,2018-06-07,0.62,2,0
19780093,Convenient / Spacious 1BR in Union Square,6376364,Jing,Manhattan,East Village,40.73213,-73.98944,Entire home/apt,200,2,11,2017-10-10,0.47,1,0
19780958,"Sweet Cobble Hill ""tree house""",3757515,Emily,Brooklyn,Cobble Hill,40.68744,-73.99229,Entire home/apt,125,7,0,,,1,0
19784119,Harlem Haven,9427915,Ntifafa Akoko,Manhattan,Harlem,40.82105,-73.94588,Entire home/apt,100,2,27,2019-06-09,1.15,1,1
19785259,Lower East Side - Bare Bones,53821069,Daniel,Manhattan,Lower East Side,40.72276,-73.9886,Entire home/apt,94,1,8,2017-07-28,0.33,1,0
19785676,Cozy private room in Brooklyn,23055253,Marie,Brooklyn,Bushwick,40.69924,-73.93052,Private room,70,4,0,,,2,0
19785737,Hillside Hotel,134184451,Hillside Hotel,Queens,Jamaica,40.70445,-73.81399,Private room,135,1,1,2017-10-08,0.05,18,180
19786240,Venice Beach Meets Brooklyn  Stunning Townhouse,20063690,Naheima,Brooklyn,Bedford-Stuyvesant,40.68827,-73.94943,Entire home/apt,550,3,4,2018-09-03,0.22,2,97
19786465,private room in the Bronx,84941679,Junior,Bronx,Clason Point,40.81699,-73.86741,Private room,80,1,2,2018-10-02,0.09,1,88
19786549,Dungeon heaven. SOHO loft-feel in Bklyn.❤️❤️❤️❤️❤️,16534981,Suzy,Brooklyn,Bedford-Stuyvesant,40.68141,-73.93301,Entire home/apt,68,14,10,2019-04-30,0.43,5,286
19786572,"Spacious, private master bed/bath in Bushwick!",20459165,Amie,Queens,Ridgewood,40.70689,-73.91527,Private room,63,4,6,2017-09-20,0.26,1,0
19786757,2 Bedrooms PRIVATE BATHROOM AND KITCHEN,131684478,Mervin (Michael),Staten Island,West Brighton,40.63291,-74.11777,Private room,83,2,5,2018-08-29,0.24,3,188
19786915,Spacious Clean Studio  Apartment,86892032,Marian,Queens,Rosedale,40.65766,-73.72838,Entire home/apt,60,1,57,2019-07-08,2.41,1,336
19787245,CHIC & BRIGHT APT ON UES CLOSE TO CENTRAL PARK,9293730,Inna,Manhattan,Upper East Side,40.76937,-73.95745,Entire home/apt,155,30,8,2019-04-24,0.37,16,333
